entity_id,sku,small_image
374982,"VS117A-IRON GREY",/V/S/VS117A-IRON_GREY_1.jpeg
374978,VS117A-BLACK,/V/S/VS117A-BLACK_1.jpeg
374974,VS117A-WHITE,/V/S/VS117A-WHITE_1.jpeg
374970,V160A-WHITE,/V/1/V160A-WHITE_1.jpeg
374964,V160A-BLACK,/V/1/V160A-BLACK_1.jpeg
374958,KS161A-WHITE,/K/S/KS161A-WHITE_1.jpeg
374953,KS161A-BLACK,/K/S/KS161A-BLACK_1.jpeg
374948,KS161A-GREY,/K/S/KS161A-GREY_1.jpeg
374943,VS110A-BLACK,/V/S/VS110A-BLACK_1.jpeg
374938,VS110A-WHITE,/V/S/VS110A-WHITE_1.jpeg
374933,"VS110A-LIGHT KHAKI",/V/S/VS110A-LIGHT_KHAKI_1.jpeg
374928,"V225A-SAPPHIRE BLUE",/V/2/V225A-SAPPHIRE_BLUE_1.jpeg
374922,V225A-BLACK,/V/2/V225A-BLACK_1.jpeg
374916,V225A-WHITE,/V/2/V225A-WHITE_1.jpeg
374910,"VS111A-LIGHT ARMY GREEN",/V/S/VS111A-LIGHT_ARMY_GREEN_1.jpeg
374905,VS111A-BLACK,/V/S/VS111A-BLACK_1.jpeg
374900,"VS116A-LIGHT BEAN GREEN",/V/S/VS116A-LIGHT_BEAN_GREEN_1.jpeg
374895,VS116A-WHITE,/V/S/VS116A-WHITE_1.jpeg
374890,"V221A-FLESH PINK",/V/2/V221A-FLESH_PINK_1.jpeg
374884,"V221A-BEAN PASTE POWDER",/V/2/V221A-BEAN_PASTE_POWDER_1.jpeg
374878,V221A-BLACK,/V/2/V221A-BLACK_1.jpeg
374872,VS30A-BLACK,/V/S/VS30A-BLACK_1.jpeg
374866,VS99A-WHITE,/V/S/VS99A-WHITE_1.jpeg
374862,VS99A-BLACK,/V/S/VS99A-BLACK_1.jpeg
374858,VS98A-BLACK,/V/S/VS98A-BLACK_1.jpeg
374854,VS98A-WHITE,/V/S/VS98A-WHITE_1.jpeg
374850,"VS98A-MATCHA GREEN",/V/S/VS98A-MATCHA_GREEN_1.jpeg
374846,"P1167A-LIGHT MINT GREEN",/P/1/P1167A-LIGHT_MINT_GREEN_1.jpeg
374840,"V235A-SAPPHIRE BLUE",/V/2/V235A-SAPPHIRE_BLUE_1.jpeg
374835,V235A-WHITE,/V/2/V235A-WHITE_1.jpeg
374830,V235A-BLACK,/V/2/V235A-BLACK_1.jpeg
374825,KS136A-BLACK,/K/S/KS136A-BLACK_1.jpeg
374820,P1181A-WHITE,/P/1/P1181A-WHITE_1.jpeg
374815,K1087A-BLACK,/K/1/K1087A-BLACK_1.jpeg
374809,K1087A-WHITE,/K/1/K1087A-WHITE_1.jpeg
374803,KS123A-WHITE,/K/S/KS123A-WHITE_1.jpeg
374797,"KS123A-DARK KHAKI",/K/S/KS123A-DARK_KHAKI_1.jpeg
374791,KS123A-BLACK,/K/S/KS123A-BLACK_1.jpeg
374785,"KS123A-SMOKE BLUE",/K/S/KS123A-SMOKE_BLUE_1.jpeg
374779,P1141A-WHITE,/P/1/P1141A-WHITE_1.jpeg
374774,P1141A-BLACK,/P/1/P1141A-BLACK_1.jpeg
374769,"VS59A-LIGHT KHAKI",/V/S/VS59A-LIGHT_KHAKI_1.jpeg
374763,"VS59A-ROYAL BLUE",/V/S/VS59A-ROYAL_BLUE_1.jpeg
374757,VS59A-BLACK,/V/S/VS59A-BLACK_1_1.jpeg
374751,VS59A-WHITE,/V/S/VS59A-WHITE_1_1.jpeg
374733,K265A-WHITE,/K/2/K265A-WHITE_1_1.jpeg
374728,K265A-BLACK,/K/2/K265A-BLACK_1_1.jpeg
374713,"K264A-GREY BLUE",/K/2/K264A-GREY_BLUE_1.jpeg
374707,"K264A-BRICK COLOR",/K/2/K264A-BRICK_COLOR_1.jpeg
374701,K264A-BLACK,/K/2/K264A-BLACK_1.jpeg
374695,K264A-WHITE,/K/2/K264A-WHITE_1.jpeg
374689,HP20988-BLACK,/H/P/HP20988-BLACK_1.jpeg
374685,YDN001-PINK,/Y/D/YDN001-PINK_1.jpeg
374681,"SR-003-SKY BLUE",/S/R/SR-003-SKY_BLUE_1.jpeg
374677,FDC0228-RED,/F/D/FDC0228-RED_1.jpeg
374673,FDC0228-BLACK,/F/D/FDC0228-BLACK_1.jpeg
374669,"FDL0415-LAVENDER PURPLE",/F/D/FDL0415-LAVENDER_PURPLE_1.jpeg
374665,FDL0415-GREY,/F/D/FDL0415-GREY_1.jpg
374661,FDL0415-MILKY,/F/D/FDL0415-MILKY_1.jpg
374657,FDL0415-BLACK,/F/D/FDL0415-BLACK_1.jpeg
