image_index,resolution1,resolution2,similarity
16,920x1300,83x110,0.875
16,920x1300,128x128,0.65625
16,920x1300,355x503,0.96875
16,920x1300,500x500,0.6875
16,920x1300,1000x1000,0.65625
16,920x1300,920x1300,1.0
17,83x110,83x110,1.0
17,83x110,128x128,0.5625
17,83x110,355x503,0.90625
17,83x110,500x500,0.5625
17,83x110,1000x1000,0.5625
17,83x110,920x1300,0.90625
17,128x128,83x110,0.5625
17,128x128,128x128,1.0
17,128x128,355x503,0.53125
17,128x128,500x500,1.0
17,128x128,1000x1000,0.96875
17,128x128,920x1300,0.5
17,355x503,83x110,0.90625
17,355x503,128x128,0.53125
17,355x503,355x503,1.0
17,355x503,500x500,0.53125
17,355x503,1000x1000,0.53125
17,355x503,920x1300,0.96875
17,500x500,83x110,0.5625
17,500x500,128x128,1.0
17,500x500,355x503,0.53125
17,500x500,500x500,1.0
17,500x500,1000x1000,0.96875
17,500x500,920x1300,0.5
17,1000x1000,83x110,0.5625
17,1000x1000,128x128,0.96875
17,1000x1000,355x503,0.53125
17,1000x1000,500x500,0.96875
17,1000x1000,1000x1000,1.0
17,1000x1000,920x1300,0.5
17,920x1300,83x110,0.90625
17,920x1300,128x128,0.5
17,920x1300,355x503,0.96875
17,920x1300,500x500,0.5
17,920x1300,1000x1000,0.5
17,920x1300,920x1300,1.0
18,83x110,83x110,1.0
18,83x110,128x128,0.65625
18,83x110,355x503,1.0
18,83x110,500x500,0.65625
18,83x110,1000x1000,0.65625
18,83x110,920x1300,1.0
18,128x128,83x110,0.65625
18,128x128,128x128,1.0
18,128x128,355x503,0.65625
18,128x128,500x500,1.0
18,128x128,1000x1000,1.0
18,128x128,920x1300,0.65625
18,355x503,83x110,1.0
18,355x503,128x128,0.65625
18,355x503,355x503,1.0
18,355x503,500x500,0.65625
18,355x503,1000x1000,0.65625
18,355x503,920x1300,1.0
18,500x500,83x110,0.65625
18,500x500,128x128,1.0
18,500x500,355x503,0.65625
18,500x500,500x500,1.0
18,500x500,1000x1000,1.0
18,500x500,920x1300,0.65625
18,1000x1000,83x110,0.65625
18,1000x1000,128x128,1.0
18,1000x1000,355x503,0.65625
18,1000x1000,500x500,1.0
18,1000x1000,1000x1000,1.0
18,1000x1000,920x1300,0.65625
18,920x1300,83x110,1.0
18,920x1300,128x128,0.65625
18,920x1300,355x503,1.0
18,920x1300,500x500,0.65625
18,920x1300,1000x1000,0.65625
18,920x1300,920x1300,1.0
19,83x110,83x110,1.0
19,83x110,128x128,0.71875
19,83x110,355x503,0.96875
19,83x110,500x500,0.71875
19,83x110,1000x1000,0.71875
19,83x110,920x1300,0.96875
19,128x128,83x110,0.71875
19,128x128,128x128,1.0
19,128x128,355x503,0.6875
19,128x128,500x500,0.96875
19,128x128,1000x1000,0.96875
19,128x128,920x1300,0.6875
19,355x503,83x110,0.96875
19,355x503,128x128,0.6875
19,355x503,355x503,1.0
19,355x503,500x500,0.6875
19,355x503,1000x1000,0.6875
19,355x503,920x1300,1.0
19,500x500,83x110,0.71875
19,500x500,128x128,0.96875
19,500x500,355x503,0.6875
19,500x500,500x500,1.0
19,500x500,1000x1000,0.96875
19,500x500,920x1300,0.6875
19,1000x1000,83x110,0.71875
19,1000x1000,128x128,0.96875
19,1000x1000,355x503,0.6875
19,1000x1000,500x500,0.96875
19,1000x1000,1000x1000,1.0
19,1000x1000,920x1300,0.6875
19,920x1300,83x110,0.96875
19,920x1300,128x128,0.6875
19,920x1300,355x503,1.0
19,920x1300,500x500,0.6875
19,920x1300,1000x1000,0.6875
19,920x1300,920x1300,1.0
20,83x110,83x110,1.0
20,83x110,128x128,0.71875
20,83x110,355x503,0.875
